"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2019","1,330.90","1,328.00","1,334.70","1,328.00","1.31K","0.38%"
"Mar 18, 2019","1,325.80","1,323.10","1,330.40","1,323.00","1.18K","-0.10%"
"Mar 15, 2019","1,327.10","1,320.30","1,330.10","1,320.00","0.88K","0.58%"
"Mar 14, 2019","1,319.40","1,332.10","1,332.10","1,317.20","1.46K","-1.08%"
"Mar 13, 2019","1,333.80","1,327.20","1,336.00","1,327.20","2.00K","0.86%"
"Mar 12, 2019","1,322.40","1,319.10","1,326.30","1,319.00","1.33K","0.51%"
"Mar 11, 2019","1,315.70","1,323.50","1,323.50","1,315.40","1.36K","-0.65%"
"Mar 08, 2019","1,324.30","1,312.30","1,325.70","1,312.30","2.40K","1.04%"
"Mar 07, 2019","1,310.70","1,312.40","1,312.90","1,306.70","2.36K","-0.11%"
"Mar 06, 2019","1,312.20","1,314.00","1,316.10","1,309.60","1.10K","0.24%"
"Mar 05, 2019","1,309.10","1,311.80","1,314.10","1,306.90","1.24K","-0.21%"
"Mar 04, 2019","1,311.90","1,320.60","1,322.30","1,308.40","1.76K","-0.90%"
"Mar 01, 2019","1,323.80","1,339.10","1,340.60","1,316.30","2.18K","-1.28%"
"Feb 28, 2019","1,341.00","1,347.60","1,353.40","1,338.90","0.61K","-0.37%"
"Feb 27, 2019","1,346.00","1,356.00","1,356.00","1,344.30","0.88K","-0.55%"
"Feb 26, 2019","1,353.40","1,356.10","1,357.00","1,350.70","0.17K","-0.06%"
"Feb 25, 2019","1,354.20","1,357.80","1,359.00","1,352.40","0.55K","-0.25%"
"Feb 22, 2019","1,357.60","1,351.30","1,359.80","1,349.10","0.99K","0.38%"
"Feb 21, 2019","1,352.40","1,367.90","1,368.40","1,351.20","0.86K","-1.46%"
"Feb 20, 2019","1,372.50","1,371.30","1,374.30","1,366.30","1.67K","0.21%"
"Feb 19, 2019","1,369.60","1,349.50","1,369.60","1,349.00","2.60K","3.01%"
"Feb 18, 2019","1,329.55","1,324.35","1,330.75","1,324.05","-","0.40%"
"Feb 17, 2019","1,324.25","1,324.65","1,324.95","1,323.85","-","-1.67%"
"Feb 15, 2019","1,346.80","1,340.40","1,350.00","1,340.40","0.85K","0.61%"
"Feb 14, 2019","1,338.70","1,337.00","1,342.00","1,329.90","0.81K","-0.10%"
"Feb 13, 2019","1,340.10","1,338.60","1,345.20","1,333.20","1.88K","0.09%"
"Feb 12, 2019","1,338.90","1,337.00","1,342.10","1,336.80","1.07K","0.14%"
"Feb 11, 2019","1,337.00","1,342.50","1,342.70","1,333.00","1.26K","-0.50%"
"Feb 08, 2019","1,343.70","1,337.90","1,344.20","1,337.90","0.33K","0.32%"
