"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 04, 2018","1,277.40","1,271.00","1,277.50","1,271.00","0.27K","0.57%"
"Dec 03, 2018","1,270.20","1,260.60","1,271.00","1,260.30","0.18K","1.09%"
"Nov 30, 2018","1,256.50","1,257.40","1,257.70","1,255.30","0.26K","-0.34%"
"Nov 29, 2018","1,260.80","1,261.10","1,264.10","1,259.00","0.17K","0.05%"
"Nov 28, 2018","1,260.20","1,250.90","1,261.30","1,247.70","0.52K","0.78%"
"Nov 27, 2018","1,250.40","1,258.00","1,260.00","1,248.90","0.43K","-0.74%"
"Nov 26, 2018","1,259.70","1,260.10","1,263.90","1,259.40","1.45K","-0.02%"
"Nov 23, 2018","1,260.00","1,265.20","1,265.50","1,257.80","0.64K","2.61%"
"Nov 22, 2018","1,228.00","1,226.40","1,229.70","1,225.50","-","-2.90%"
"Nov 21, 2018","1,264.70","1,261.30","1,265.40","1,260.60","0.34K","0.57%"
"Nov 20, 2018","1,257.50","1,261.90","1,262.60","1,258.20","0.37K","-0.32%"
"Nov 19, 2018","1,261.60","1,257.60","1,261.00","1,257.00","2.39K","0.21%"
"Nov 16, 2018","1,259.00","1,253.30","1,260.60","1,253.30","0.22K","0.58%"
"Nov 15, 2018","1,251.70","1,249.60","1,252.30","1,245.50","0.14K","0.44%"
"Nov 14, 2018","1,246.20","1,234.20","1,251.30","1,234.00","0.33K","0.70%"
"Nov 13, 2018","1,237.50","1,239.70","1,240.80","1,232.50","1.37K","-0.17%"
"Nov 12, 2018","1,239.60","1,243.40","1,244.40","1,237.70","0.61K","-0.43%"
"Nov 09, 2018","1,245.00","1,252.70","1,252.70","1,243.90","0.46K","-1.35%"
"Nov 08, 2018","1,262.00","1,262.70","1,263.70","1,258.00","0.46K","-0.27%"
"Nov 07, 2018","1,265.40","1,265.30","1,273.00","1,262.00","0.57K","0.19%"
"Nov 06, 2018","1,263.00","1,273.50","1,273.50","1,262.90","0.24K","-0.47%"
"Nov 05, 2018","1,269.00","1,269.90","1,270.80","1,266.50","0.19K","-0.07%"
"Nov 02, 2018","1,269.90","1,271.00","1,273.90","1,268.40","1.29K","-0.38%"
"Nov 01, 2018","1,274.80","1,255.30","1,272.00","1,255.30","0.20K","1.92%"
"Oct 31, 2018","1,250.80","1,260.40","1,260.40","1,250.00","0.96K","-0.85%"
"Oct 30, 2018","1,261.50","1,263.70","1,263.70","1,257.40","0.13K","-0.17%"
"Oct 29, 2018","1,263.70","1,272.20","1,272.20","1,263.90","0.26K","-0.68%"
"Oct 26, 2018","1,272.30","1,270.70","1,281.30","1,270.00","0.54K","0.26%"
"Oct 25, 2018","1,269.00","1,276.50","1,277.50","1,267.70","0.48K","0.11%"
"Oct 24, 2018","1,267.60","1,271.80","1,271.80","1,269.50","0.34K","-0.46%"
"Oct 23, 2018","1,273.50","1,269.90","1,276.40","1,269.90","0.05K","0.97%"
"Oct 22, 2018","1,261.30","1,266.90","1,266.90","1,259.70","0.14K","-0.32%"
"Oct 19, 2018","1,265.30","1,268.50","1,268.50","1,265.50","0.04K","-0.10%"
"Oct 18, 2018","1,266.60","1,262.70","1,267.30","1,261.30","0.04K","0.25%"
"Oct 17, 2018","1,263.40","1,260.40","1,268.60","1,260.40","0.30K","-0.31%"
"Oct 16, 2018","1,267.30","1,269.40","1,269.40","1,268.40","0.12K","0.03%"
"Oct 15, 2018","1,266.90","1,258.90","1,272.90","1,258.90","0.19K","0.70%"
"Oct 12, 2018","1,258.10","1,259.40","1,261.40","1,256.70","0.17K","-0.47%"
"Oct 11, 2018","1,264.00","1,233.20","1,265.70","1,231.20","0.76K","2.81%"
"Oct 10, 2018","1,229.40","1,228.80","1,233.00","1,227.00","0.12K","0.13%"
"Oct 09, 2018","1,227.80","1,230.10","1,231.30","1,224.90","0.07K","0.24%"
"Oct 08, 2018","1,224.90","1,230.00","1,230.00","1,223.60","0.15K","-1.39%"
"Oct 05, 2018","1,242.20","1,238.10","1,244.60","1,238.10","0.10K","0.38%"
"Oct 04, 2018","1,237.50","1,239.00","1,242.90","1,239.00","0.61K","-0.10%"
"Oct 03, 2018","1,238.70","1,245.20","1,245.20","1,237.90","0.18K","-0.32%"
"Oct 02, 2018","1,242.70","1,228.10","1,247.30","1,228.10","0.28K","1.28%"
"Oct 01, 2018","1,227.00","1,225.20","1,228.80","1,223.80","0.50K","-0.35%"
"Sep 28, 2018","1,231.30","1,222.90","1,232.00","1,220.70","0.18K","0.73%"
"Sep 27, 2018","1,222.40","1,236.10","1,236.10","1,221.80","1.30K","-0.97%"
"Sep 26, 2018","1,234.40","1,239.70","1,239.70","1,231.00","0.66K","-0.52%"
"Sep 25, 2018","1,240.80","1,240.80","1,240.80","1,240.80","0.05K","0.06%"
"Sep 24, 2018","1,240.00","1,237.70","1,243.50","1,237.70","0.01K","0.25%"
"Sep 21, 2018","1,236.90","1,249.70","1,250.30","1,231.90","0.04K","-0.81%"
"Sep 20, 2018","1,247.00","1,243.10","1,248.20","1,241.90","0.07K","0.23%"
"Sep 19, 2018","1,244.10","1,240.00","1,246.30","1,240.00","0.08K","0.47%"
"Sep 18, 2018","1,238.30","1,238.20","1,241.20","1,238.20","0.24K","-0.23%"
"Sep 17, 2018","1,241.20","1,236.70","1,244.70","1,236.70","0.15K","0.37%"
"Sep 14, 2018","1,236.60","1,244.00","1,247.70","1,234.80","0.28K","-0.58%"
"Sep 13, 2018","1,243.80","1,246.40","1,252.50","1,242.10","0.29K","-0.22%"
"Sep 12, 2018","1,246.60","1,238.00","1,247.00","1,235.70","0.40K","0.73%"
"Sep 11, 2018","1,237.60","1,234.80","1,239.50","1,230.00","0.16K","0.21%"
"Sep 10, 2018","1,235.00","1,233.70","1,237.20","1,233.50","0.05K","-0.04%"
"Sep 07, 2018","1,235.50","1,240.60","1,241.50","1,235.80","0.47K","-0.29%"
"Sep 06, 2018","1,239.10","1,242.50","1,246.50","1,237.80","0.55K","0.25%"
"Sep 05, 2018","1,236.00","1,234.40","1,237.30","1,233.70","0.11K","0.19%"
"Sep 04, 2018","1,233.60","1,241.00","1,243.20","1,230.30","0.11K","2.26%"
"Sep 03, 2018","1,206.30","1,204.90","1,209.60","1,201.30","-","0.12%"
"Sep 02, 2018","1,204.90","1,206.20","1,206.60","1,204.50","-","-2.92%"
"Aug 31, 2018","1,241.10","1,243.80","1,247.90","1,241.60","0.02K","0.13%"
"Aug 30, 2018","1,239.50","1,243.00","1,243.30","1,237.40","0.43K","-0.56%"
"Aug 29, 2018","1,246.50","1,242.80","1,246.80","1,242.80","0.10K","-0.25%"
"Aug 28, 2018","1,249.60","1,247.90","1,247.90","1,242.50","0.01K","-0.13%"
"Aug 27, 2018","1,251.20","1,245.20","1,252.90","1,245.20","0.00K","0.24%"
"Aug 24, 2018","1,248.20","1,228.60","1,249.20","1,228.60","0.03K","1.61%"
"Aug 23, 2018","1,228.40","1,229.30","1,233.40","1,228.00","0.07K","-0.79%"
"Aug 22, 2018","1,238.20","1,239.20","1,239.20","1,237.40","0.04K","0.27%"
"Aug 21, 2018","1,234.90","1,236.00","1,237.30","1,231.60","0.03K","0.43%"
"Aug 20, 2018","1,229.60","1,227.90","1,231.60","1,227.30","0.14K","0.84%"
"Aug 17, 2018","1,219.30","1,214.30","1,226.00","1,214.30","0.02K","0.01%"
"Aug 16, 2018","1,219.20","1,211.10","1,223.10","1,208.60","0.30K","-0.08%"
"Aug 15, 2018","1,220.20","1,230.00","1,230.20","1,217.10","0.04K","-1.31%"
"Aug 14, 2018","1,236.40","1,236.70","1,237.60","1,236.40","0.06K","0.15%"
"Aug 13, 2018","1,234.60","1,251.50","1,251.50","1,236.20","0.19K","-1.63%"
